Title,Title_link,date,Rating,Description_of_duration,authorInfo,Positive_Review,pos_count,Negative_Review,neg_count,UI_TEXT,reviewBodyCell,author_location,authorLocation_current,Outlook,CEO_Approval
"""Pretty Good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36531503.htm,30 September 2020,5.0,I have been working at Walmart part-time for more than a year,Current Employee - Fulfillment Associate,profit sharing benefits  discounts on phone bills  walmart grocery discount ,1,no cons at all honestly ,0,,,,,,
"""Physical""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36533379.htm,30 September 2020,5.0,I worked at Walmart full-time for more than a year,Former Employee - Order Selector,incentives and bonuses for hard work ,1,very physically demanding and fast paced ,0,,,,,,
"""Walmart Review""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36552704.htm,30 September 2020,5.0,I have been working at Walmart part-time for less than a year,Current Employee - Online Grocery Pickup Associate,work hours  time availablity  great management,1,heavy workloads  low amount of help from other coworkers talking,0,,,,,,
"""Excellent workplace""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36556000.htm,30 September 2020,5.0,I worked at Walmart part-time for less than a year,Former Employee - Sales Associate,corporate culture  work flex minimum wage pay,1,physical stress hectic work during sale time,0,,,,,,
"""Good job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36557155.htm,30 September 2020,5.0,I have been working at Walmart full-time for more than 5 years,Current Employee - Sales Associate/Cashier,fun environment full of epic style things,1,mean boss who would garnish my wages for being cruel to employees,0,,,,,,
"""Good place to work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36562930.htm,30 September 2020,5.0,I worked at Walmart part-time,Former Employee - Walmart Cashier,gained skills with customer service,1,not the most interesting job,0,,,,,,
"""Great part time student jobs""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36564392.htm,30 September 2020,5.0,I have been working at Walmart part-time for less than a year,Current Employee - Part Time Produce Associate,scheduling is very flexible and it’s a good environment to work in,1,hours can be very low depending on the week,0,,,,,,
"""Good culture and diversity and inclusion.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36565444.htm,30 September 2020,5.0,I worked at Walmart full-time for more than 3 years,Former Employee - Program Manager,good people from different culture and diversity,1,challenging to work with old japanese people with traditional way of thinking,0,,,,,,
"""Good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36568133.htm,30 September 2020,5.0,I have been working at Walmart full-time,Current Employee - Cashier,good place to work at  great coworkers,1,need more staff when it comes to closing shifts,0,,,,,,
"""Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36569858.htm,1 October 2020,5.0,I have been working at Walmart full-time for less than a year,Current Employee - Asset Protection Specialist,very nice working environment and good hours,1,always busy and not in back up sometimes,0,,,,,,
"""Walmart is mediocre""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37206978.htm,15 October 2020,2.0,I worked at Walmart full-time for more than 8 years,Former Employee - Personnel Coordinator,working with the associates was fun and helping them was even better ,1,poor management and not enough incentive to move up within the company ,0,,,,,,
"""Cashier and quoting HR""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36532545.htm,30 September 2020,4.0,I worked at Walmart part-time for less than a year,Former Employee - Cashier,liked being friendly to customers patient head cashier while training in,1,he employ quit  other hr had a stroke  and came back part time  my car broke down and was unfixable  so unexpectedly i had to quit   i continually called hr and never got a response   i told my supervisor and head store manager  then i received a letter saying i abandoned my job  which was untrue  i talked to roger the manager about it,0,,,,,,
"""Walmart pharmacy""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36533526.htm,30 September 2020,4.0,I have been working at Walmart full-time,Current Employee - Pharmacy Assistant,good company with advancement if wanted in front store,1,if you have been there a long time they do not give pay adjustments to the long timers so new people end up making almost as much as you,0,,,,,,
"""okay""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36534096.htm,30 September 2020,4.0,I have been working at Walmart part-time,Current Employee - Sales Associate,- sales associates discount - flexible schedule,1,  pressure for selling walmart mastercard,0,,,,,,
"""Excellent""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36535687.htm,30 September 2020,4.0,I worked at Walmart part-time for more than 3 years,Former Employee - Customer Service Representative,great for part-time work or students excellent benefits flexibility growth opportunity,1,management issue lack of proper leadership,0,,,,,,
"""It was okay""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36536473.htm,30 September 2020,4.0,I worked at Walmart part-time for less than a year,Former Employee - Stocker,you work around a lot of people so if you need help you can ask,1,the hours aren’t very flexible,0,,,,,,
"""Typical retail job, both in work load and appreciation.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36537600.htm,30 September 2020,4.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Facilitator D/M,well paid for job load ,1,usually not doing what hired for ,0,,,,,,
"""Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36544843.htm,30 September 2020,4.0,I worked at Walmart full-time,Former Employee - Sales Associate,good place to work at,1,none at this current time,0,,,,,,
"""Good Job to start if you have no work experience.""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36550904.htm,30 September 2020,4.0,I worked at Walmart full-time,Former Employee - Cashier,employee discount and 401k benefits after working for a bit ,1,some upper management personnel are very demanding and sometimes belittle staff ,0,,,,,,
"""Good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36554771.htm,30 September 2020,4.0,I have been working at Walmart full-time,Current Employee - Unloader/Processor,good pay good managers great shifts and hours,1,no holiday pay  continuously takes benefits away,0,,,,,,
"""Cool place to work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36555879.htm,30 September 2020,4.0,I worked at Walmart full-time for less than a year,Former Employee - Garden Sales Associate,people usually know what they’re looking for in the garden department,1,soil bags are always damaged and ripped,0,,,,,,
"""The Truth Hurts""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36557917.htm,30 September 2020,4.0,I have been working at Walmart full-time for more than 5 years,Current Employee - Assistant Manager,competitive pay  good benefits  easy lateral and upward movement,1,culture  walmart attempts to change its culture every couple of years  position stability  walmart shifts its management structure every few years into something totally different only to return to something similar a few years later  hours  for hourly non management positions hours are hard to come by due to many long time associates still being in role long after retirement age and for salaried positions the hours are labelled at 50  i have worked only a couple of weeks where my hours were less than 60 due to higher management coercion,0,,,,,,
"""store level""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36558511.htm,30 September 2020,4.0,I worked at Walmart full-time,Former Employee - Manager,great customer and associate interaction,1,"about every 5 years they ""restructure"" and many jobs are changed",0,,,,,,
"""Great flexible schedule""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36559057.htm,30 September 2020,4.0,I worked at Walmart full-time,Former Employee - Cashier,walmart works with school scheduling and easy to take off ,1,there would be no cons  unless you get tooty management ,0,,,,,,
"""Cashier""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36560621.htm,30 September 2020,4.0,I have been working at Walmart part-time for less than a year,Current Employee - Cashier,good job to have while in college ,1,there really are not any ,0,,,,,,
"""OK Job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36561710.htm,30 September 2020,4.0,I worked at Walmart full-time for less than a year,Former Employee - Sales Associate,decent pay and decent benefits,1,alot of employees call in and you are asked to pick up the slack,0,,,,,,
"""Nice""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36563670.htm,30 September 2020,4.0,I worked at Walmart part-time,Former Employee - Sales Associate,i think it was a good experience ,1,i hated the long hours,0,,,,,,
"""Good way to get management experience""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36571467.htm,1 October 2020,4.0,I worked at Walmart full-time,Former Employee - Support Manager,plenty of hours  if you want overtime it is their,1,no time for your family,0,,,,,,
"""Eh""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37128182.htm,14 October 2020,3.0,I worked at Walmart full-time for less than a year,Former Employee - Ecommerce Clerk,good pay and an easy job  good manager ,1,unorganized hardly any room for advancement ,0,,,,,,
"""ok to work for""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37130833.htm,14 October 2020,3.0,I have been working at Walmart full-time,Current Employee - Auto Care Center Manager,pay is good for job,1,to many changes and uncertainty for the future plans,0,,,,,,
"""Not enough salary""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37132103.htm,14 October 2020,3.0,I have been working at Walmart part-time,Current Employee - Customer Service Representative,get discount on groceries good environment to work,1,very less pay and no growth due to inside politics,0,,,,,,
"""Decorator""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37132442.htm,14 October 2020,3.0,I worked at Walmart full-time,Former Employee - Cake Decorator,they had very flexible scheduling,1,sometimes had unrealistic expectations for the amount of work you could get done,0,,,,,,
"""Working at Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37132486.htm,14 October 2020,3.0,I worked at Walmart part-time,Former Employee - Cashier,benefits  free time  can work a stable schedule,1,management played games and favorites,0,,,,,,
"""decent first job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37135880.htm,14 October 2020,3.0,I have been working at Walmart part-time,Current Employee - Customer Service Associate,competitive wages  great chance for customer service experience,1,not the best morale and work environment ,0,,,,,,
"""Not a great place to work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37137711.htm,14 October 2020,3.0,I worked at Walmart full-time for more than a year,Former Employee - Host,not many the other employees are kinda cool to be around,1,alot management doesnt even speak to each other its a cluster,0,,,,,,
"""Good pay, that's about it""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37139845.htm,14 October 2020,3.0,I have been working at Walmart part-time for more than a year,Current Employee - Cashier,good pay  pretty good breaks,1,terrible customers  terrible managers  corporate is always changing things up,0,,,,,,
"""walmart was one of first long term job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37141632.htm,14 October 2020,3.0,I worked at Walmart part-time,Former Employee - Part Time Cashier,great place to work love the people,1,had no complains about job,0,,,,,,
"""Its a job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37142788.htm,14 October 2020,3.0,I have been working at Walmart full-time for more than 8 years,Current Employee - Asset Protection Assistant Store Manager,education benefits and career advancement,1,bad work life balance for me,0,,,,,,
"""Flexible Hours""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37146677.htm,14 October 2020,3.0,I have been working at Walmart part-time for more than a year,Current Employee - Sporting Goods Sales Associate,flexible with scheduling as long as you set your availability ,1,weekends are almost always a must  same with holidays,0,,,,,,
"""Front end Cashier""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37152540.htm,14 October 2020,3.0,I worked at Walmart part-time for more than a year,Former Employee - Front End Cashier,bonus during hurricanes and holidays,1,very hard to get employee of the month,0,,,,,,
"""Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37153222.htm,14 October 2020,3.0,I worked at Walmart part-time,Former Employee - Walmart Cashier,good people  fun  work  alot,1,boring sometimes  rude people  don't care about workers,0,,,,,,
"""Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37159445.htm,14 October 2020,3.0,I worked at Walmart full-time,Former Employee - Certified Medical Assistant,friendly environment  set break times,1,a lot of drama between employees and management,0,,,,,,
"""Decent""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37159889.htm,14 October 2020,3.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Cap-2 Associate,easy work  laid back enviroment  good people,1,unrealistic standards from upper managment,0,,,,,,
"""Working at Walmart store""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37163959.htm,14 October 2020,3.0,I worked at Walmart part-time,Former Employee - Cashier,was enjoyable to work with coworkers,1,they need to have better training for management positions,0,,,,,,
"""Good job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36485198.htm,29 September 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - Overnight Stocker,good management good coworkers and flexibility schedule,1,no cons that i can think of,0,,,,,,
"""It was Great""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36486229.htm,29 September 2020,5.0,I worked at Walmart full-time,Former Employee - Bagger/Cashier,everything was so good here,1,nothing was bad at all here,0,,,,,,
"""Great work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36496580.htm,29 September 2020,5.0,I have been working at Walmart part-time,Current Employee - Cashier,it is a great environment,1,the work load can be a task sometimes,0,,,,,,
"""Excellent""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36498062.htm,29 September 2020,5.0,I worked at Walmart full-time for more than 5 years,Former Employee - Senior Manager,excellent example of the process of stolen android phone on t-mobile usa,1,share this playlist play related share article facebook,0,,,,,,
"""Good job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36499784.htm,29 September 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - Sales Associate,the hours were good and management was nice,1,hard to balance work and home life,0,,,,,,
"""Great company for advancement""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36499766.htm,29 September 2020,5.0,I worked at Walmart part-time for more than 5 years,Former Employee - E-Commerce Associate,great benefits  easy to advance,1,management is not always warm and helpful,0,,,,,,
"""Great company for advancement""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36499766.htm,29 September 2020,5.0,I worked at Walmart part-time for more than 5 years,Former Employee - E-Commerce Associate,great benefits  easy to advance,1,management is not always warm and helpful,0,,,,,,
"""Walmart review""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36507481.htm,29 September 2020,5.0,I worked at Walmart part-time for less than a year,Former Employee - Stocker,good people and good environment,1,customers were hard to handle sometimes,0,,,,,,
"""ok""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36511267.htm,29 September 2020,5.0,I have been working at Walmart part-time,Current Employee - Cahshier,sper hit salary crazy beautiful,1,bad management low hours pressure,0,,,,,,
"""Great""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36513554.htm,29 September 2020,5.0,I have been working at Walmart part-time,Current Employee - Associate Consultant,work ethics and culture are great,1,there are no cons for me,0,,,,,,
"""Great summer job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36515752.htm,29 September 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - Sales Associate/Cashier,chance to advance within company and decent pay grade for high school student,1,does not provide livable wages,0,,,,,,
"""Great""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36516402.htm,29 September 2020,5.0,I worked at Walmart part-time,Former Employee - Bakery Clerk,flexible hours for all students,1,next to no training literally,0,,,,,,
"""Best place to work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36519747.htm,29 September 2020,5.0,I have been working at Walmart part-time for less than a year,Current Employee - Cashier,best teammates and good mentorship  a place where you can actually grow and learn new things ,1,the pressure to make more apps i e  walmart mastercard,0,,,,,,
"""Low Price Leader""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36520623.htm,29 September 2020,5.0,I worked at Walmart part-time,Former Employee - Cashier,they are the low-cost leader ,1,they really don't care about you ,0,,,,,,
"""Case manager""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36522078.htm,29 September 2020,5.0,I worked at Walmart full-time for more than 8 years,Former Employee - Case Manager,management wasn’t good at all,1,i loved my pay and hours,0,,,,,,
"""Good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36524563.htm,30 September 2020,5.0,I worked at Walmart full-time,Former Employee - Warehouse Associate,pay was good for what i did ,1,it's hard work  especially now with the pandemic ,0,,,,,,
"""Meh""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37127458.htm,14 October 2020,2.0,I worked at Walmart full-time,Former Employee - Sales Assistant,money nice coworkers parking spaces,1,bad management rude people not enough money,0,,,,,,
"""pass if you can""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37130052.htm,14 October 2020,2.0,I have been working at Walmart full-time for more than 3 years,Current Employee - Department Manager,great people for the most part  work really isn t that difficult ,1,management gets pulled in 5 different directions  at least at my store there are issues with retention,0,,,,,,
"""It was okay""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37132403.htm,14 October 2020,2.0,I worked at Walmart part-time for more than a year,Former Employee - Walmart Cashier,the salary was okay  the coworkers where nice,1,management wasn’t that great  it definitely could improve,0,,,,,,
"""walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37133468.htm,14 October 2020,2.0,I have been working at Walmart full-time,Current Employee - Sporting Goods Associate,great medical benefits  good job for entry ,1,too many changes in the company  lack of succession to the employees ,0,,,,,,
"""Easy work, store is understaffed""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37138588.htm,14 October 2020,2.0,I have been working at Walmart part-time for less than a year,Current Employee - Associate,easy work  good $/hour  they always need employees  good chance for growth in the company,1,not much training  raises are small  focus is not on having a good working environment or good customer service  focus is not on the employees and how to take care of them ,0,,,,,,
"""good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37163795.htm,14 October 2020,2.0,I worked at Walmart part-time,Former Employee - Sales Representative,part time availability and culture,1,the pay is very low,0,,,,,,
"""It is what it is""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37165816.htm,15 October 2020,2.0,I worked at Walmart part-time,Former Employee - Sales Associate,flexible schedule  employee tuition assistance with snhu,1,pay could be better  so could management ,0,,,,,,
"""Okay""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36483091.htm,29 September 2020,4.0,I have been working at Walmart full-time for more than a year,Current Employee - Online Grocery Pickup Associate,it’s a good job to have,1,they expect you to be perfect,0,,,,,,
"""good""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36494098.htm,29 September 2020,4.0,I worked at Walmart part-time,Former Employee - Analyst,cool  fun  easy  money  time,1,tiring  schedule  days  nights  midday,0,,,,,,
"""Its okay""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36494694.htm,29 September 2020,4.0,I have been working at Walmart part-time for more than a year,Current Employee - Personal Shopper,its relaxed at times but  it gets hectic throughout the middle of the day ,1,complaints coming from dd about deliveries,0,,,,,,
"""Good Pay, Boring work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36497128.htm,29 September 2020,4.0,I have been working at Walmart full-time,Current Employee - Freight Handler,distribution center = money  horrible time,1,monotonous  physically demanding work but pays well,0,,,,,,
"""Asset Protection Manager""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36499804.htm,29 September 2020,4.0,I worked at Walmart full-time for more than 8 years,Former Employee - Asset Protection Manager,benefits  solid core values  good people advancement,1,work life balance rotation  overnight revolving store managers not always a good store match,0,,,,,,
"""Cashier""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36501975.htm,29 September 2020,4.0,I have been working at Walmart part-time,Current Employee - Cashier,the work is not stressful,1,the salary is too low,0,,,,,,
"""Sales""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36503549.htm,29 September 2020,4.0,I worked at Walmart part-time,Former Employee - Sales Associate/Cashier,met great people and supervisors were always super nice,1,customers sometimes got rude and had to overcome some conflicts,0,,,,,,
"""Alright""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36503569.htm,29 September 2020,4.0,I have been working at Walmart part-time,Current Employee - Electronics Sales Associate,fun department   learn about new tech,1,bad management  hours always change,0,,,,,,
"""Okay for students""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36505754.htm,29 September 2020,4.0,I worked at Walmart part-time for more than a year,Former Employee - Customer Service Associate,very flexible with hours  shifts  good job for students or part-time workers  the longer you’re there the longer you’re stuck with them ,1,management  rude customers  dangerous for the night shift ,0,,,,,,
"""Csm""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36509511.htm,29 September 2020,4.0,I worked at Walmart part-time for more than a year,Former Employee - Customer Service Representative,good management nice staff friendly fun place  advancement for growth,1,low salary  no benefits lots of expectations  zz xx,0,,,,,,
"""Walmart is a great company overall""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36511299.htm,29 September 2020,4.0,I have been working at Walmart part-time,Current Employee - Student,decent pay  good hours  relatively easy work (im in lawn and garden),1,some managers are not as respectful as others,0,,,,,,
"""Decent work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36511793.htm,29 September 2020,4.0,I worked at Walmart part-time for less than a year,Former Employee - Sales Associate,flexibility at the work place,1,hr/management was not that good,0,,,,,,
"""It was ok""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36513611.htm,29 September 2020,4.0,I worked at Walmart part-time for more than a year,Former Employee - Night Stocker,it was ok and easy ,1,i had to work long hours ,0,,,,,,
"""It was ok""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36513611.htm,29 September 2020,4.0,I worked at Walmart part-time for more than a year,Former Employee - Night Stocker,it was ok and easy ,1,i had to work long hours ,0,,,,,,
"""It was ok""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36515949.htm,29 September 2020,4.0,I worked at Walmart full-time,Former Employee - Sales Associate,pay was ok and some bonuses,1,customers were mean and didnt care,0,,,,,,
"""A leading grocery organization""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36519363.htm,29 September 2020,4.0,I have been working at Walmart part-time,Current Employee - Sales Associate,walmart provides excellent products fulfilling the the need for every customer from all around the world having different ethnic background ,1,they provide product that are wrapped in harmful plastics  harming the environment ,0,,,,,,
"""Unique""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36520058.htm,29 September 2020,4.0,I worked at Walmart part-time,Former Employee - Cake Decorator,cake  endless customer requests provided unique job experience,1,customers get very angry about cake   (,0,,,,,,
"""It’s a decent job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36523508.htm,30 September 2020,4.0,I have been working at Walmart part-time,Current Employee - Overnight Stocker,nothing just good but could be better,1,good not bad but it does have cons later on,0,,,,,,
"""It’s an okay job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36527480.htm,30 September 2020,4.0,I worked at Walmart full-time for less than a year,Former Employee - Walmart Cashier,good hours and time off  opportunities to move up,1,the job expects too much of their employees,0,,,,,,
"""It’s what you make it""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37079651.htm,13 October 2020,3.0,I have been working at Walmart full-time,Current Employee - Assistant Manager,pay training  be part of a team,1,no work life balance  in the midst of a health situation you’ll be penalized  no time with kids,0,,,,,,
"""It's ok""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37096844.htm,13 October 2020,3.0,I worked at Walmart full-time for more than 3 years,Former Employee - Fresh Associate,the pay is ok but could be better,1,under appreciated staff so they don't go above and beyond ,0,,,,,,
"""Decent job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37099835.htm,13 October 2020,3.0,I have been working at Walmart part-time,Current Employee - Fresh Production Associate,it s a good job to earn money for college ,1,it can be boring doing the same thing every day,0,,,,,,
"""Poor""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37100973.htm,13 October 2020,3.0,I worked at Walmart part-time,Former Employee - Cap Team II,management is alright but no hours available,1,hours are short and no good pay,0,,,,,,
"""cashier""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37101897.htm,13 October 2020,3.0,I worked at Walmart part-time for more than a year,Former Employee - Front End Cashier,if you re looking for a first job and want to fully take on a challenge then this is the job for you  you ll gain a lot of guest service experience with all the walks of life that comes in through the doors  some of the staff members are a delight and others    well   not as much  they are super flexible with your hours  but let them know a month in advance if you would like to change your schedule  overall it is challenging because of the management and customers  but with a little patience and a build of thicker skin then this is the place for you ,1,the management can be difficult to deal with  frankly the cashiers are underpaid and hardly ever get bonuses  some times you might not be sent to break or lunch on time so be prepared for that ,0,,,,,,
"""Overworked underpaid""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37111253.htm,13 October 2020,3.0,I worked at Walmart full-time for more than 3 years,Former Employee - Department Manager,the benefits are great as well as the breaks ,1,very underpaid in most departments ,0,,,,,,
"""It gets really tiring and hectic specially on weekends""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37113163.htm,13 October 2020,3.0,I have been working at Walmart part-time for less than a year,Current Employee - Customer Service Desk Associate,you are allowed to make mistakes and learn from them,1,always short on staff  a lot of work on weekends,0,,,,,,
"""Working for Walmart""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37113488.htm,13 October 2020,3.0,I have been working at Walmart part-time,Current Employee - Sales Associate,most of the pros come from the work you do  if you re lucky enough to get a nice position  then the work will be fulfilling  the interactions with the other associates are well worth it  the benefits might be the best pro of all  although you have to wait three months for your first benefit  the 10% discount card  plenty of other benefits roll in on your 3  6  and your 12 month work anniversaries  me personally  i work in the electronics department  which can honestly be debated as the best department to work in  i love technology and games and i love it when i get to explain something to someone and they leave with more knowledge than when they left  the work i do is very interesting and fulfilling ,1,"now the cons are not that long but they do make a big difference with your experience  the one problem that i've always had with walmart is the management  i've worked at walmart since june of 2017 and since day one  i knew i was gonna have a hard time with the managers  some managers you'll meet are amazing and awesome to work with  other managers will be the polar opposite  the management situation is so bad that on several occasions  i've almost quit on the spot  sometimes they can be so frustrating  some managers step out of line which unfortunately is what has happened to me and a couple of other associates i know  overall  i believe that with all the pros  they slightly outway the cons of working here  i gave them 3 stars because over the past 6 8 months  it's gotten worse and that is the reason i've been actively looking for another job  to quote my friend once  ""i love the work i do  but  i don't like who i do it for""",0,,,,,,
"""Good job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37115342.htm,13 October 2020,3.0,I have been working at Walmart full-time,Current Employee - Sales Associate,great benefits for employees wise,1,bad turnovers in some stores,0,,,,,,
"""Not Bad, But Not Great""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW37115589.htm,14 October 2020,3.0,I have been working at Walmart part-time for less than a year,Current Employee - Asset Protection Customer Host,good benefits flexible for part time,1,miscommunication within management pay could be better compared to competitors very fast paced at times,0,,,,,,
"""Walmart CPhT""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36439957.htm,28 September 2020,5.0,I have been working at Walmart full-time for more than a year,Current Employee - Pharmacy Technician CPhT,plenty of paid time off  will work with any last minute schedule changes  great insurance  discount card for walmart  easier way to get a sam’s card  deals and coupons for a lot of parks  cruises  entertainment  etc ,1,i don’t have any at the moment ,0,,,,,,
"""cap-2""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36441457.htm,28 September 2020,5.0,I worked at Walmart full-time,Former Employee - Stocker,fast paced  work with team ,1,shift hours did not work out with my schedule,0,,,,,,
"""Very good place to work""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36447555.htm,28 September 2020,5.0,I worked at Walmart full-time for less than a year,Former Employee - Pharmacist,very nice place to work  not a lot of disadvantage,1,very nice no cons i can remember,0,,,,,,
"""Decent job""",https://www.glassdoor.co.in/Reviews/Employee-Review-Walmart-RVW36452213.htm,28 September 2020,5.0,I have been working at Walmart part-time,Current Employee - Walmart Cashier,good job to have for a time,1,none that i can think of,0,,,,,,
